Name,City,Rating,Review Count,Price,Tax,Distance From Nearby Routes,Free Cancelation,Couple Friendly,Total Amount
Hotel Windsor Plaza,Gachibowli,3.4,50.0,2663,551,"5 minutes walk to AIG Gachibowli, Hyderabad",True,False,3214
Treebo De Alphabet Kondapur,Kondapur,3.8,115.0,2227,525,Not provided,True,False,2752
Treebo Kruthika Residency,Gachibowli,3.5,128.0,2075,478,Not provided,True,False,2553
7seven luxuary hotel,Kushaiguda,3.9,125.0,3067,764,18.8 km from city centre,False,False,3831
RADHE SUITES,Madhapur,4.2,99.0,2020,418,Not provided,True,False,2438
Hotel SVM Grand Ramanthapur,Habsiguda,3.9,22.0,3632,905,10 minutes walk to Rajiv Gandhi Cricket Stadium,True,False,4537
HOTEL APPLE TREE,Kukatpally,3.4,66.0,1331,363,Not provided,True,False,1694
"Treebo Address Inn, Banjara Hills.",Banjara Hills,3.3,285.0,2224,512,Not provided,True,False,2736
FabExpress Starhood,Manikonda,3.6,7.0,1281,333,Not provided,True,False,1614
Hotel Milap Residency,Yella Reddy Guda,3.8,66.0,1479,403,Not provided,True,False,1882
Super Hotel O Gokul Grand Near SR Nagar Police Station,Ameerpet,3.6,792.0,1923,382,9 minutes walk to Aditya Trade Center,True,False,2305
Hotel Rainbow Tower Shamshabad Airport Zone,Shamshabad,3.7,1086.0,1811,608,8.9 km drive to Rajiv Gandhi International Airport,True,False,2419
White Fern Stays,Gachibowli,4.1,38.0,2088,469,Not provided,False,False,2557
Hotel Transit,Begumpet,3.3,203.0,1206,344,Not provided,True,False,1550
Cyber Pride,Gachibowli,4.0,487.0,1885,441,Not provided,True,False,2326
Super Townhouse Nirvana Elite,Madhapur,3.8,30.0,1518,296,Not provided,True,False,1814
Hotel Viraaj Suites Miyapur,Hafeezpet,3.7,31.0,1268,346,2.2 km drive to Miyapur Metro Station,True,False,1614
Super Townhouse RCC PARK VIEW INN,Hafeezpet,4.2,179.0,2331,455,2.2 km drive to Miyapur Metro Station,True,False,2786
Hotel Maritan - Hitech City,Hitec City,4.5,4.0,2111,437,Not provided,True,False,2548
SUPERB HOTELS,Khairatabad,4.1,18.0,2755,570,7 minutes walk to Hussain Sagar Lake,True,False,3325
"Treebo SY Inn, Gachibowli DLF",Gachibowli,3.7,52.0,2844,670,Not provided,True,False,3514
Bikanervala Boutique Hotel,Banjara Hills,4.2,1296.0,3837,784,3.0 km drive to Hussain Sagar Lake,True,False,4621
Hotel Jubilee Park,Nagole,4.0,153.0,3348,684,Not provided,True,False,4032
The Westin Hyderabad Mindspace,Hitec City,4.3,1280.0,50250,9045,Not provided,True,False,59295
